Value,Feature
0.3468194,D0_daughterAngle_0_1
0.12844291,pi_Ch1_dr
0.121748626,D0_cos_decayAngle_0
0.091136366,D0_flightDistance
0.074955314,D0_flightDistanceErr
0.065830864,D0_chiProb
0.061655205,K_Ch1_dr
0.04497129,K_Ch1_kaonID
0.040053796,D0_useCMSFrame_p
0.024386222,pi_Ch1_pionID
